REGION,ESTRATO,PRODUCTO,AF,AM,YF,YM,CF,CM,DR1F,DR1M,DR2,AFC_MONTHS,AFKG,AMKG,CKG,MFSKG,MMSKG,RRF,FR,ERF,ERM,MILK_YIELD,LACT_PER_MONTHS,MILK_FAT,MILK_PROTEIN,MMSPASTURE,MMSDAILY,MMSLIQUID,MMSCOMPOSTING,MMSANAEROBIC,MMSDRYLOT,MMSSOLID,MMSUNCOVEREDLAGOON,MMSBURNED
COSTA,EMPRESARIAL,Leche,469,5,1415,141,108,118,6.92,11.96,4.32,35.16,765.71,575,32.21,220.08,220.08,18.48,80.26,15.92,15.92,5.45,7,3.98,3.42,80,20,0,0,0,0,0,0,0
COSTA,EMPRESARIAL,Carne,6702,757,5147,3529,1890,1818,6.92,11.96,4.32,32.64,337.28,410.36,25,282.14,296.09,18.48,9.22,15.92,15.92,4.52,2.6,3.98,3.42,66.67,0,33.33,0,0,0,0,0,0
COSTA,COMBINADO,Leche,63769,6763,43227,23329,22866,23466,6.92,11.96,4.32,33.96,452.52,451.34,30.64,220.08,220.08,18.48,80.26,15.92,15.92,6.52,7.15,3.98,3.42,98.75,0,0,0,0,1.25,0,0,0
COSTA,COMBINADO,Carne,2417,265,6404,4430,4528,3088,6.92,11.96,4.32,27,425,600,47.5,387.5,387.5,18.48,9.22,15.92,15.92,6,7,3.98,3.42,98,2,0,0,0,0,0,0,0
COSTA,MERCANTIL,Leche,461745,27228,271306,92832,139944,132791,6.92,11.96,4.32,36,627.43,566.99,31.38,242.76,242.76,18.48,80.26,15.92,15.92,5.26,6.66,3.98,3.42,92.29,4.83,2.6,0.16,0,0,0.13,0,0
COSTA,MERCANTIL,Carne,209761,44082,99327,114461,61253,62236,6.92,11.96,4.32,34.32,587.98,557.49,29.76,417.16,409.36,18.48,9.22,15.92,15.92,4.72,2.46,3.98,3.42,99.57,0.29,0,0.14,0,0,0,0,0
COSTA,MARGINAL,Leche,42318,5821,19098,10633,17239,18311,6.92,11.96,4.32,42.84,576.08,393.71,30.02,296.59,296.59,18.48,80.26,15.92,15.92,5.96,6.41,3.98,3.42,100,0,0,0,0,0,0,0,0
COSTA,MARGINAL,Carne,19803,776,10284,5800,3694,1980,6.92,11.96,4.32,27.84,372.17,574.62,30.14,300.82,337.12,18.48,9.22,15.92,15.92,5.3,3.67,3.98,3.42,100,0,0,0,0,0,0,0,0
SIERRA,EMPRESARIAL,Leche,45621,10678,11290,9993,9848,13042,11.21,17.55,4.6,28.8,409.85,560.53,21.05,200,200,20.26,72.23,11.65,11.65,13.98,7.13,3.72,3.01,50.63,26.25,0,8.75,0,0,1.88,12.5,0
SIERRA,EMPRESARIAL,Carne,4968,0,3360,0,3979,0,11.21,17.55,4.6,32.04,363.64,727.27,36.36,318.18,395.27,20.26,7.04,11.65,11.65,4,9,3.72,3.01,100,0,0,0,0,0,0,0,0
SIERRA,COMBINADO,Leche,53921,11382,16525,11273,13678,12901,11.21,17.55,4.6,26.76,397.13,569.33,30.99,204.31,204.31,20.26,72.23,11.65,11.65,18.12,7.08,3.72,3.01,72.5,17.5,0,6.25,0,0,0,0,3.75
SIERRA,MERCANTIL,Leche,574852,76960,276918,188901,182078,106395,11.21,17.55,4.6,30,438.84,463.28,31.1,216.73,216.73,20.26,72.23,11.65,11.65,7.49,7.32,3.72,3.01,87.82,6.86,0.1,3.03,1.02,0,0.66,0.51,0
SIERRA,MERCANTIL,Carne,171077,80490,61699,42089,61601,123439,11.21,17.55,4.6,29.4,367.69,498.83,29.6,310.88,395.27,20.26,7.04,11.65,11.65,5.62,5.77,3.72,3.01,96.3,0.37,0,3.33,0,0,0,0,0
SIERRA,MARGINAL,Leche,217409,42912,58133,17331,79699,67616,11.21,17.55,4.6,36.48,430.22,414.17,24.95,256.92,256.92,20.26,72.23,11.65,11.65,5.95,5.99,3.72,3.01,86.67,0,0,13.33,0,0,0,0,0
SIERRA,MARGINAL,Carne,24612,8174,6228,26574,9196,16228,11.21,17.55,4.6,30.96,395.83,313.74,25,293.32,344.62,20.26,7.04,11.65,11.65,4.83,10.67,3.72,3.01,88.89,0,0,11.11,0,0,0,0,0
AMAZONIA,MERCANTIL,Leche,100875,15902,50999,28861,36054,38306,4.11,9.97,5.69,26.64,464.72,522.15,27.54,284.43,284.43,15.3,94.98,11.08,11.08,7.29,5.86,3.17,2.91,99.73,0,0,0.08,0,0,0.19,0,0
AMAZONIA,MERCANTIL,Carne,75124,24155,37945,41703,27103,21495,4.11,9.97,5.69,29.28,457.54,483.18,32.96,346.62,418.94,15.3,12.77,11.08,11.08,4.75,6.5,3.17,2.91,100,0,0,0,0,0,0,0,0
AMAZONIA,MARGINAL,Leche,24678,7441,12825,5041,11778,8991,4.11,9.97,5.69,28.56,385.73,600.53,32.36,265.36,265.36,15.3,94.98,11.08,11.08,6.14,6.23,3.17,2.91,100,0,0,0,0,0,0,0,0
AMAZONIA,MARGINAL,Carne,63790,12694,15879,17731,14517,15907,4.11,9.97,5.69,26.28,398.31,436.9,33.54,331.94,254.85,15.3,12.77,11.08,11.08,4.42,6.1,3.17,2.91,95.65,4.35,0,0,0,0,0,0,0
